EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
132,TJ,Olson,TJOLSON,650.124.8234,10-Apr-07,ST_CLERK,2100, - ,121,50
128,Steven,Markle,SMARKLE,650.124.1434,8-Mar-08,ST_CLERK,2200, - ,120,50
136,Hazel,Philtanker,HPHILTAN,650.127.1634,6-Feb-08,ST_CLERK,2200, - ,122,50
127,James,Landry,JLANDRY,650.124.1334,14-Jan-07,ST_CLERK,2400, - ,120,50
135,Ki,Gee,KGEE,650.127.1734,12-Dec-07,ST_CLERK,2400, - ,122,50
131,James,Marlow,JAMRLOW,650.124.7234,16-Feb-05,ST_CLERK,2500, - ,121,50
140,Joshua,Patel,JPATEL,650.121.1834,6-Apr-06,ST_CLERK,2500, - ,123,50
126,Irene,Mikkilineni,IMIKKILI,650.124.1224,28-Sep-06,ST_CLERK,2700, - ,120,50
139,John,Seo,JSEO,650.121.2019,12-Feb-06,ST_CLERK,2700, - ,123,50
130,Mozhe,Atkinson,MATKINSO,650.124.6234,30-Oct-05,ST_CLERK,2800, - ,121,50
134,Michael,Rogers,MROGERS,650.127.1834,26-Aug-06,ST_CLERK,2900, - ,122,50
125,Julia,Nayer,JNAYER,650.124.1214,16-Jul-05,ST_CLERK,3200, - ,120,50
138,Stephen,Stiles,SSTILES,650.121.2034,26-Oct-05,ST_CLERK,3200, - ,123,50
129,Laura,Bissot,LBISSOT,650.124.5234,20-Aug-05,ST_CLERK,3300, - ,121,50
133,Jason,Mallin,JMALLIN,650.127.1934,14-Jun-04,ST_CLERK,3300, - ,122,50
137,Renske,Ladwig,RLADWIG,650.121.1234,14-Jul-03,ST_CLERK,3600, - ,123,50
